Theta, Alpha, Low_beta, High_beta, Gamma
4.490066935,1.057914975,0.417949718,0.193499992,0.21752983
4.273072767,1.146167131,0.316673894,0.174602289,0.163940707
3.406966418,0.873082934,0.258311992,0.495388277,0.43767952
3.552971621,1.498721328,2.04576871,1.282777143,0.673605662
5.326965484,0.782160553,0.390023812,0.254502667,0.222952416
4.490066935,1.057914975,0.417949718,0.193499992,0.21752983
4.273072767,1.146167131,0.316673894,0.174602289,0.163940707
3.406966418,0.873082934,0.258311992,0.495388277,0.43767952
3.552971621,1.498721328,2.04576871,1.282777143,0.673605662
5.326965484,0.782160553,0.390023812,0.254502667,0.222952416
4.490066935,1.057914975,0.417949718,0.193499992,0.21752983
4.273072767,1.146167131,0.316673894,0.174602289,0.163940707
3.406966418,0.873082934,0.258311992,0.495388277,0.43767952
3.552971621,1.498721328,2.04576871,1.282777143,0.673605662
5.326965484,0.782160553,0.390023812,0.254502667,0.222952416
4.490066935,1.057914975,0.417949718,0.193499992,0.21752983
4.273072767,1.146167131,0.316673894,0.174602289,0.163940707
3.406966418,0.873082934,0.258311992,0.495388277,0.43767952
3.552971621,1.498721328,2.04576871,1.282777143,0.673605662
5.326965484,0.782160553,0.390023812,0.254502667,0.222952416
3.525384759,0.874249548,0.665843676,0.181003808,0.195623484
3.692764915,1.042891112,0.333201251,0.217816142,0.142262004
2.345138796,0.603847353,0.407187278,0.607028724,0.356616763
3.118811447,1.403313586,2.223989409,1.294870343,1.042348321
3.769851878,0.601086377,0.382479604,0.216728729,0.240538134
3.525384759,0.874249548,0.665843676,0.181003808,0.195623484
3.692764915,1.042891112,0.333201251,0.217816142,0.142262004
2.345138796,0.603847353,0.407187278,0.607028724,0.356616763
3.118811447,1.403313586,2.223989409,1.294870343,1.042348321
3.769851878,0.601086377,0.382479604,0.216728729,0.240538134
3.525384759,0.874249548,0.665843676,0.181003808,0.195623484
3.692764915,1.042891112,0.333201251,0.217816142,0.142262004
2.345138796,0.603847353,0.407187278,0.607028724,0.356616763
3.118811447,1.403313586,2.223989409,1.294870343,1.042348321
3.769851878,0.601086377,0.382479604,0.216728729,0.240538134
3.525384759,0.874249548,0.665843676,0.181003808,0.195623484
3.692764915,1.042891112,0.333201251,0.217816142,0.142262004
2.345138796,0.603847353,0.407187278,0.607028724,0.356616763
3.118811447,1.403313586,2.223989409,1.294870343,1.042348321
3.769851878,0.601086377,0.382479604,0.216728729,0.240538134
3.525384759,0.874249548,0.665843676,0.181003808,0.195623484
3.692764915,1.042891112,0.333201251,0.217816142,0.142262004
2.345138796,0.603847353,0.407187278,0.607028724,0.356616763
3.118811447,1.403313586,2.223989409,1.294870343,1.042348321
3.769851878,0.601086377,0.382479604,0.216728729,0.240538134
1.359940955,0.691504427,0.535665984,0.178439301,0.222735639
1.099223813,0.614141809,0.147441601,0.275737936,0.108583682
0.61484942,0.456622384,0.65241476,0.475188208,0.23572278
1.862878041,1.045537206,3.140070359,0.663265629,1.172073603
